Case,OCC_DATE,OCC_TIME,CASE_STATUS_DESC,UCR,UCR_EXT_CODE,OFFENSE_DESC,Bias Type,LOC_CODE,Location_Description,DeIdentifiedLocation,X_COORDINATE,Y_COORDINATE
2013584355,12/4/2013 0:00,1730,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 45TH AVE / N HAVANA ST,3178245,1709174
2013622201,12/27/2013 0:00,1900,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-WHITE,15,JAIL/PRISON/PENETENTIARY/CORRECTIONS FACILITY                                  ,400 BLOCK W COLFAX AVE,3142418,1694739
2014160568,3/29/2014 0:00,1300,INACTIVE - EARLY CASE CLOSURE,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-WHITE,20,RESIDENCE/HOME                                                                 ,3100 BLOCK S TAMARAC DR,3168401,1665145
2014247849,5/16/2014 0:00,145,INACTIVE,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HOMOSEXUAL (GAY AND LESBIAN),3,BAR/NIGHT CLUB                                                                 ,3500 BLOCK WALNUT ST,3147584,1704943
2014250801,5/17/2014 0:00,1600,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,24TH ST / LAWRENCE ST,3144264,1700664
2014267107,5/26/2014 0:00,455,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-FEMALE HOMOSEXUAL (LESBIAN),18,GOVERNMENT/PUBLIC BUILDING                                                     ,400 BLOCK W COLFAX AVE,3142418,1694739
2014267107,5/26/2014 0:00,455,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,3572,3572-0,DRUG - METHAMPETAMINE POSSESS,ANTI-FEMALE HOMOSEXUAL (LESBIAN),11,GOVERNMENT/PUBLIC BUILDING                                                     ,400 BLOCK W COLFAX AVE,3142418,1694739
2014267107,5/26/2014 0:00,455,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5312,5312-0,DISTURBING THE PEACE,ANTI-FEMALE HOMOSEXUAL (LESBIAN),18,GOVERNMENT/PUBLIC BUILDING                                                     ,400 BLOCK W COLFAX AVE,3142418,1694739
2014316135,6/20/2014 0:00,1935,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 14TH AVE / N GRANT ST,3145227,1694268
2014400389,7/13/2014 0:00,100,INACTIVE,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,800 BLOCK N BROADWAY ST,3144243,1690927
